cust_id,region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,lninc,custcat,churn
C00136,R3,14,43,Y,18,36,E1,5,N,N,5,Y,N,Y,N,12.5,19.75,0,18,0,153.75,273.75,0,215,0,N,N,N,N,Y,Y,Y,Y,N,2.526,3.584,C3,N
C00137,R2,42,40,N,7,37,E2,8,N,Y,1,Y,Y,Y,Y,8.25,23.5,36.9,28,37.4,399.15,950.65,1532.9,1190,1562,Y,Y,N,Y,Y,Y,N,Y,Y,2.11,3.611,C4,N
C00138,R1,9,21,Y,1,17,E2,2,N,Y,3,N,N,N,N,2.9,0,0,0,0,25.25,0,0,0,0,N,N,N,N,Y,N,N,N,N,1.065,2.833,C1,N
C00139,R1,56,37,Y,6,36,E1,13,N,Y,2,N,Y,Y,N,10.6,0,31.1,18.25,0,582.6,0,1756.35,1005,0,Y,N,N,Y,N,N,N,N,Y,2.361,3.584,C2,N
C00140,R1,35,50,Y,26,140,E2,21,N,Y,4,Y,N,Y,N,6.5,27.5,0,35,0,247.55,1068.25,0,1215,0,N,N,N,N,N,Y,Y,Y,N,1.872,4.942,C3,N
C00141,R2,60,46,Y,13,163,E3,24,N,N,2,Y,Y,Y,Y,33.9,38.25,44.65,13.75,55.25,1947.95,2326.35,2645.85,840,3125.95,Y,Y,Y,Y,N,Y,Y,Y,Y,3.523,5.094,C4,N
C00142,R2,54,60,N,38,211,E4,25,N,N,1,Y,Y,Y,Y,21.15,39.25,46.35,54.25,54.85,1228.7,2102.25,2421.3,2785,2895.85,Y,Y,Y,Y,Y,N,N,Y,Y,3.052,5.352,C4,N
C00143,R1,11,41,Y,0,39,E1,1,N,Y,2,Y,N,Y,N,6.55,29.25,0,19.75,0,67.8,303.65,0,200,0,N,Y,N,N,Y,Y,Y,Y,N,1.879,3.664,C3,Y
C00144,R3,10,41,N,7,30,E1,7,N,N,1,Y,N,Y,N,2.5,19.25,0,53.75,0,31.25,178.2,0,490,0,N,N,N,N,Y,Y,Y,Y,N,0.916,3.401,C3,N
C00145,R2,27,28,Y,4,23,E2,8,N,N,5,N,N,N,N,6.2,0,0,0,0,180.15,0,0,0,0,N,N,N,N,Y,N,N,N,N,1.825,3.135,C1,N
C00146,R1,64,43,Y,20,76,E4,20,N,Y,4,Y,N,Y,N,14.7,18.75,0,11,0,897.05,1279.25,0,680,0,Y,N,N,N,Y,Y,N,Y,N,2.688,4.331,C3,N
C00147,R1,49,51,Y,27,63,E4,19,N,N,5,Y,N,Y,N,12.85,25.75,0,14.25,0,585.6,1278.45,0,635,0,Y,N,N,Y,N,Y,N,N,Y,2.553,4.143,C2,N
C00148,R3,9,34,Y,9,33,E2,8,N,Y,4,N,Y,N,N,2.95,0,22.95,0,0,18.9,0,208.55,0,0,N,N,N,N,N,N,N,N,N,1.082,3.497,C1,Y
C00149,R2,30,34,Y,4,27,E2,1,N,N,5,N,Y,N,N,6.3,0,22.5,0,0,150.9,0,690.75,0,0,N,N,N,Y,N,N,N,N,N,1.841,3.296,C1,Y
C00150,R3,10,22,N,0,24,E4,0,N,N,1,Y,Y,Y,Y,7.8,23.75,37.25,22.5,30.05,63,222.55,330.4,185,306.3,Y,Y,Y,Y,Y,Y,Y,Y,Y,2.054,3.178,C4,N
C00151,R1,52,27,N,6,47,E3,5,N,N,2,Y,N,Y,N,6.25,18.5,0,14.25,0,330.4,942.65,0,725,0,N,N,N,N,Y,N,N,N,Y,1.833,3.85,C1,N
C00152,R3,27,34,N,8,21,E3,4,N,Y,1,N,N,N,N,7.65,0,0,0,0,213.45,0,0,0,0,Y,N,N,N,N,N,N,N,N,2.035,3.045,C2,N
C00153,R2,41,52,N,27,30,E2,2,N,Y,1,Y,N,Y,Y,10.4,28,0,19,27.5,447.85,1152,0,800,1036.65,N,N,N,N,Y,Y,Y,Y,N,2.342,3.401,C3,N
C00154,R2,55,39,Y,15,137,E2,20,N,Y,2,Y,N,Y,N,12.7,27.5,0,11.5,0,676.9,1505.2,0,620,0,N,Y,N,N,Y,Y,Y,Y,N,2.542,4.92,C3,Y
C00155,R3,35,55,N,24,30,E2,2,N,N,1,N,N,Y,N,10.25,0,0,15.75,0,395.85,0,0,550,0,N,N,N,N,N,N,N,N,N,2.327,3.401,C1,N
C00156,R2,44,39,N,16,79,E2,16,N,N,1,Y,Y,Y,Y,15.25,24.5,37.45,27.25,30.05,653.7,1037.45,1610.1,1110,1280,Y,N,Y,Y,Y,Y,Y,Y,Y,2.725,4.369,C4,Y
C00157,R3,28,51,Y,22,40,E3,10,N,Y,6,Y,N,N,N,8.95,21.25,0,0,0,253.55,586.95,0,0,0,N,N,N,N,Y,Y,Y,Y,N,2.192,3.689,C3,N
C00158,R1,16,27,N,5,37,E3,5,N,N,4,N,N,N,N,6,0,0,0,0,80.7,0,0,0,0,N,N,N,N,N,N,N,N,N,1.792,3.611,C1,N
C00159,R1,40,57,Y,15,22,E2,9,N,N,2,N,N,Y,N,8.55,0,0,19.75,0,381.5,0,0,710,0,N,N,N,N,N,N,N,N,N,2.146,3.091,C1,N
C00160,R1,20,42,N,4,17,E3,5,N,N,1,N,N,N,N,7.8,0,0,0,0,175.85,0,0,0,0,N,N,N,N,N,N,N,N,N,2.054,2.833,C1,N
C00161,R2,64,48,Y,13,91,E2,24,N,N,2,Y,N,Y,Y,24.5,24.75,0,12.5,29.65,1531.9,1569.25,0,780,1875.95,Y,N,N,N,Y,Y,Y,Y,N,3.199,4.511,C3,N
C00162,R1,40,38,Y,10,85,E3,12,N,N,2,N,N,N,N,10.6,0,0,0,0,384.8,0,0,0,0,N,N,N,N,Y,Y,Y,Y,N,2.361,4.443,C3,Y
C00163,R1,67,68,N,28,244,E1,47,N,Y,1,Y,N,Y,N,30.25,30.25,0,30.75,0,2186.2,2036.15,0,2105,0,N,Y,N,N,Y,Y,Y,Y,N,3.409,5.497,C3,N
C00164,R3,41,34,Y,15,83,E5,1,N,Y,2,Y,N,Y,N,8.9,33.75,0,5.75,0,379.55,1404.45,0,220,0,Y,Y,Y,Y,Y,Y,Y,Y,N,2.186,4.419,C4,N
C00165,R3,20,48,Y,29,24,E2,3,N,N,2,Y,N,Y,N,11.85,22.5,0,35,0,230.7,452.75,0,675,0,Y,Y,Y,N,Y,Y,Y,Y,N,2.472,3.178,C4,Y
C00166,R2,45,52,Y,4,169,E4,29,N,Y,4,N,Y,Y,N,14.65,0,40.45,14.25,0,618.15,0,1820.4,690,0,Y,N,N,Y,N,N,N,N,N,2.684,5.13,C2,N
C00167,R1,10,26,N,6,34,E3,3,N,N,1,N,Y,N,N,4.85,0,27.7,0,0,41.85,0,223.05,0,0,Y,N,N,N,N,N,N,N,N,1.579,3.526,C2,N
C00168,R2,4,35,N,16,161,E5,6,N,Y,1,Y,Y,N,Y,3.4,23.75,49.8,0,35.75,10.35,103.1,126.95,0,135.25,N,Y,Y,Y,Y,Y,Y,Y,Y,1.224,5.081,C4,Y
C00169,R3,27,51,Y,3,80,E5,11,N,N,3,N,Y,N,N,7.1,0,39.4,0,0,176.2,0,1086.65,0,0,Y,N,Y,Y,N,N,N,N,Y,1.96,4.382,C2,N
C00170,R3,52,61,Y,3,53,E5,1,N,Y,2,N,Y,Y,Y,12.25,0,38.4,8.75,35.95,631.7,0,1884.1,465,1971.35,Y,Y,N,Y,N,N,N,Y,Y,2.506,3.97,C2,N
C00171,R3,3,20,Y,1,17,E2,0,N,Y,4,N,N,N,N,3.75,0,0,0,0,12.3,0,0,0,0,N,N,N,N,N,N,N,N,Y,1.322,2.833,C1,Y
C00172,R1,55,53,Y,21,34,E1,8,N,N,2,N,N,N,N,5.7,0,0,0,0,304.4,0,0,0,0,N,N,N,N,N,Y,Y,Y,N,1.74,3.526,C3,N
C00173,R2,47,25,Y,5,21,E1,1,N,Y,2,Y,N,Y,N,8.65,30.5,0,9,0,426.6,1465.45,0,405,0,N,N,N,N,N,Y,Y,Y,N,2.158,3.045,C3,Y
C00174,R1,13,20,N,1,17,E3,0,N,N,5,N,Y,Y,N,3.05,0,31.3,14,0,40.3,0,390.6,155,0,Y,N,N,Y,Y,Y,Y,Y,Y,1.115,2.833,C4,N
C00175,R2,12,24,N,2,19,E1,0,N,N,1,Y,N,Y,N,4,24.75,0,27.25,0,46,299,0,295,0,N,N,N,N,Y,Y,Y,Y,N,1.386,2.944,C3,Y
C00176,R2,23,47,N,21,173,E3,22,N,Y,1,N,N,N,N,7.6,0,0,0,0,145.9,0,0,0,0,Y,N,N,N,Y,N,N,Y,Y,2.028,5.153,C2,N
C00177,R1,35,61,N,23,41,E2,11,N,N,1,N,N,Y,N,9.6,0,0,9.5,0,353.55,0,0,295,0,N,N,N,N,N,N,N,N,N,2.262,3.714,C1,N
C00178,R1,13,54,N,2,31,E4,2,N,N,1,N,N,N,N,5.85,0,0,0,0,97,0,0,0,0,N,Y,N,Y,N,N,N,N,Y,1.766,3.434,C1,N
C00179,R3,61,50,Y,30,102,E4,9,N,Y,3,N,N,Y,N,12.6,0,0,12.5,0,760.3,0,0,745,0,Y,N,N,Y,N,N,N,N,Y,2.534,4.625,C2,N
C00180,R2,3,37,N,13,24,E1,3,N,Y,1,N,N,N,N,2,0,0,0,0,3.05,0,0,0,0,N,Y,N,N,N,N,N,Y,Y,0.693,3.178,C1,N
C00181,R1,59,42,N,1,68,E2,21,N,Y,1,Y,N,Y,N,17.3,21.25,0,19.25,0,997.85,1183.55,0,1160,0,Y,N,N,N,Y,Y,Y,Y,N,2.851,4.22,C3,N
C00182,R3,31,31,N,4,48,E1,15,N,N,1,N,N,N,N,3.8,0,0,0,0,127.7,0,0,0,0,N,N,N,N,N,Y,Y,Y,N,1.335,3.871,C3,N
C00183,R1,48,55,N,15,79,E1,25,N,N,1,N,N,Y,N,13.8,0,0,25.5,0,668.65,0,0,1140,0,N,N,N,N,Y,Y,Y,Y,N,2.625,4.369,C3,N
C00184,R2,51,48,N,12,64,E2,22,N,Y,1,N,N,Y,N,14.8,0,0,17,0,708.45,0,0,820,0,N,N,N,N,N,N,N,N,N,2.695,4.159,C1,N
C00185,R3,14,47,Y,7,48,E1,13,N,N,2,Y,N,N,N,4.25,11,0,0,0,55.5,126.45,0,0,0,N,N,N,N,N,N,N,Y,N,1.447,3.871,C1,N
C00186,R3,19,29,Y,9,18,E2,2,N,N,3,N,N,N,N,5.4,0,0,0,0,108.5,0,0,0,0,N,N,N,Y,N,N,Y,N,Y,1.686,2.89,C1,Y
C00187,R3,22,23,N,3,37,E2,4,N,Y,3,N,Y,Y,Y,5.35,0,28.1,9,24.7,144.05,0,602.2,200,503.5,N,Y,N,Y,Y,N,N,Y,Y,1.677,3.611,C4,N
C00188,R3,14,22,Y,2,13,E3,0,N,Y,4,N,Y,N,N,9.45,0,26.85,0,0,117.55,0,364.1,0,0,Y,N,N,Y,N,N,N,N,N,2.246,2.565,C2,Y
C00189,R1,62,52,Y,2,195,E1,23,N,N,2,Y,N,Y,Y,23.15,36.75,0,36,34.3,1420.95,2308.25,0,2205,2082.8,Y,N,N,N,N,N,Y,Y,N,3.142,5.273,C3,Y
C00190,R1,56,47,Y,19,65,E2,22,N,N,3,Y,N,Y,Y,12.4,48.75,0,36.5,58.4,744.45,2695.95,0,2070,3084.2,N,Y,Y,N,Y,Y,Y,Y,N,2.518,4.174,C4,N
C00191,R2,57,39,N,6,106,E5,8,N,N,1,Y,Y,Y,Y,9.05,24.25,41.85,12.25,39.6,568.15,1486.35,2291.35,740,2183.95,Y,N,Y,N,Y,Y,Y,Y,N,2.203,4.663,C3,N
C00192,R2,40,38,N,17,96,E4,0,N,Y,1,N,N,N,N,9.3,0,0,0,0,316.05,0,0,0,0,N,N,N,N,N,N,N,N,N,2.23,4.564,C1,N
C00193,R3,23,25,Y,6,38,E2,1,N,Y,3,Y,Y,Y,N,13.9,23.25,28.5,3.75,0,255,574.85,621.25,65,0,Y,N,Y,N,N,Y,Y,N,N,2.632,3.638,C3,N
C00194,R1,29,37,Y,13,145,E5,0,N,Y,4,Y,Y,Y,Y,8.6,24,41.15,17.75,28,241.45,713.45,1201.4,495,722.8,N,Y,Y,Y,Y,Y,Y,Y,N,2.152,4.977,C4,N
C00195,R1,20,34,Y,2,22,E4,0,N,Y,3,Y,Y,Y,Y,4.85,18.25,35.05,34.75,31.65,75.45,338.55,731.05,635,570.65,N,N,Y,Y,Y,Y,Y,Y,Y,1.579,3.091,C4,N
C00196,R1,2,36,N,3,25,E1,6,N,Y,1,Y,Y,Y,Y,1.9,15.75,28.7,5,24.15,3.6,23.05,29.05,5,20.95,N,N,Y,N,Y,Y,Y,Y,N,0.642,3.219,C3,N
C00197,R2,39,51,Y,21,41,E5,20,N,N,6,Y,Y,Y,Y,12.1,20.5,54.3,9.75,35.35,492.8,910.25,2059.7,330,1301.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,2.493,3.714,C4,N
C00198,R3,59,43,Y,4,101,E2,22,N,Y,5,N,N,Y,N,13.65,0,0,20.75,0,817.65,0,0,1195,0,Y,N,N,N,N,N,N,Y,N,2.614,4.615,C2,N
C00199,R2,50,27,Y,5,22,E2,5,N,Y,3,N,N,Y,N,17.2,0,0,13.25,0,893.3,0,0,750,0,N,N,N,N,N,N,N,N,N,2.845,3.091,C1,N
C00200,R3,61,48,N,14,115,E4,20,N,Y,1,Y,Y,Y,Y,12.8,16,39.2,17.25,31,785.7,953.95,2410.1,1015,1799.15,Y,Y,Y,Y,Y,N,Y,Y,Y,2.549,4.745,C4,N
C00201,R3,38,53,N,13,242,E4,12,N,N,1,Y,Y,Y,Y,8.95,37.75,54.1,28.5,50.75,396.35,1556.4,1979.1,1020,1934.9,Y,Y,Y,N,Y,Y,Y,Y,Y,2.192,5.489,C4,N
C00202,R2,4,47,N,5,123,E4,11,N,N,1,N,Y,Y,N,2.5,0,25.3,13.75,0,9.25,0,99.5,40,0,N,N,N,Y,N,N,Y,N,Y,0.916,4.812,C1,N
C00203,R1,25,29,Y,8,31,E4,3,N,Y,5,N,Y,N,N,12.95,0,33.05,0,0,348.9,0,832.85,0,0,Y,N,N,Y,N,N,N,N,Y,2.561,3.434,C2,Y
C00204,R3,50,37,Y,11,48,E3,8,N,Y,2,Y,N,Y,N,12.9,27.75,0,8.75,0,669.75,1445.15,0,445,0,N,N,N,N,Y,Y,Y,Y,N,2.557,3.871,C3,N
C00205,R2,59,52,Y,18,78,E1,25,N,N,2,N,N,N,N,18.6,0,0,0,0,1179.05,0,0,0,0,N,N,N,N,N,N,N,N,N,2.923,4.357,C1,N
C00206,R1,60,46,N,17,81,E5,9,N,Y,1,N,Y,Y,N,17.45,0,39.25,10.25,0,1067,0,2331.65,610,0,Y,N,N,Y,N,N,N,N,Y,2.859,4.394,C2,N
C00207,R3,38,27,Y,0,26,E4,2,N,N,4,N,Y,Y,Y,12.2,0,38.75,9.25,28.05,477.5,0,1429.95,365,1111,N,Y,Y,Y,Y,Y,Y,N,Y,2.501,3.258,C4,Y
C00208,R3,7,31,N,10,59,E3,10,N,N,1,N,Y,N,N,2.45,0,29.8,0,0,16.35,0,170.2,0,0,N,Y,N,N,N,Y,N,N,Y,0.896,4.078,C1,N
C00209,R2,22,56,Y,14,57,E4,28,N,N,2,Y,Y,Y,Y,6.2,18.25,36.65,10.5,28.8,135.2,417.55,748.3,250,649.6,Y,Y,Y,Y,Y,Y,Y,Y,N,1.825,4.043,C4,N
C00210,R2,64,46,Y,19,168,E2,26,N,Y,2,Y,Y,Y,Y,14.2,71,73.8,38.75,62.45,928.8,4667.75,4758.05,2460,3704.05,Y,Y,Y,Y,Y,Y,Y,Y,Y,2.653,5.124,C4,N
C00211,R3,65,58,N,13,167,E2,14,N,Y,2,N,N,Y,N,24.3,0,0,17.25,0,1642.35,0,0,1110,0,Y,N,N,N,N,N,N,N,N,3.19,5.118,C2,N
C00212,R1,64,55,N,28,104,E1,26,N,Y,1,N,N,Y,N,15,0,0,39.25,0,960.95,0,0,2360,0,N,N,N,N,Y,N,N,Y,N,2.708,4.644,C3,N
C00213,R3,33,26,N,5,46,E4,1,N,Y,3,Y,Y,Y,Y,11,17.5,40.9,6,32.05,350.05,593.1,1347.7,185,1009.5,N,N,Y,Y,Y,Y,Y,Y,Y,2.398,3.829,C4,N
C00214,R2,69,42,Y,11,65,E2,18,N,N,2,Y,Y,Y,Y,14.2,30.5,64.2,31.5,66.55,1007.5,2082.75,4167.7,2125,4399.6,Y,Y,Y,Y,Y,Y,Y,Y,Y,2.653,4.174,C4,N
C00215,R3,22,34,Y,1,46,E3,1,N,N,4,N,Y,N,N,7.1,0,23.4,0,0,125.05,0,484.1,0,0,Y,N,N,Y,N,N,N,N,N,1.96,3.829,C2,N
C00216,R3,71,53,N,30,110,E1,34,N,N,1,N,N,Y,N,17.45,0,0,14.75,0,1249.8,0,0,1100,0,Y,N,N,N,N,N,N,N,N,2.859,4.7,C2,N
C00217,R3,12,22,Y,1,18,E3,0,N,Y,2,N,N,N,N,4.65,0,0,0,0,57.7,0,0,0,0,N,N,N,Y,N,N,N,N,Y,1.537,2.89,C1,N
C00218,R3,63,28,Y,9,34,E2,10,N,Y,6,Y,N,Y,Y,15,40,0,17.5,45.1,934.05,2465.4,0,1120,2770.35,Y,Y,N,N,Y,Y,Y,Y,N,2.708,3.526,C3,N
C00219,R2,57,54,Y,20,21,E2,0,N,Y,3,N,N,Y,N,10.6,0,0,17,0,565.55,0,0,930,0,N,N,N,N,N,N,N,N,N,2.361,3.045,C1,N
C00220,R1,13,21,N,2,19,E3,0,N,Y,1,N,Y,Y,N,7.9,0,25.2,5,0,98.35,0,311.65,40,0,Y,N,N,Y,N,N,N,N,N,2.067,2.944,C2,Y
C00221,R3,18,69,Y,11,58,E3,8,N,N,2,Y,Y,Y,Y,6.35,27.25,53.95,11.75,63,118.05,454.05,896.8,175,1049.95,Y,Y,Y,Y,Y,Y,Y,Y,Y,1.848,4.06,C4,N
C00222,R2,22,43,N,4,114,E2,19,N,N,1,N,Y,N,N,9.25,0,22.7,0,0,202.8,0,428.7,0,0,N,N,N,N,N,N,N,N,N,2.225,4.736,C1,N
C00223,R3,7,40,N,9,33,E4,2,N,Y,1,N,N,N,N,2.8,0,0,0,0,16.85,0,0,0,0,N,N,N,Y,N,N,N,N,Y,1.03,3.497,C1,N
C00224,R1,35,43,N,12,224,E3,17,N,N,1,N,N,Y,N,7.7,0,0,9.5,0,271.55,0,0,330,0,N,N,N,N,N,N,N,N,N,2.041,5.412,C1,N
C00225,R1,64,24,Y,0,23,E3,1,N,Y,5,N,Y,N,N,7,0,35.55,0,0,394.6,0,2182.4,0,0,Y,N,N,Y,N,Y,N,Y,N,1.946,3.135,C2,N
C00226,R1,38,31,Y,7,187,E4,6,N,N,3,Y,N,Y,Y,12.65,21.25,0,34,47.85,448.75,834,0,1165,1801.75,N,Y,Y,N,Y,Y,Y,Y,N,2.538,5.231,C4,Y
C00227,R1,72,69,Y,49,44,E2,44,Y,Y,2,N,N,Y,N,99.95,0,0,12.5,0,7257.6,0,0,875,0,Y,N,N,N,N,Y,N,Y,N,4.605,3.784,C3,N
C00228,R3,72,64,N,41,674,E4,37,N,Y,1,Y,N,Y,Y,49.6,32.75,0,48.75,60.15,3535.8,2378.15,0,3465,4366.2,Y,Y,N,N,Y,Y,Y,Y,N,3.904,6.513,C3,N
C00229,R3,13,55,N,3,250,E2,35,N,Y,2,N,N,N,N,4.1,0,0,0,0,50.1,0,0,0,0,N,N,N,N,N,N,N,N,N,1.411,5.521,C1,N
C00230,R3,39,24,Y,2,26,E2,4,N,N,4,N,N,Y,N,10.4,0,0,12.5,0,403.5,0,0,480,0,N,N,N,N,N,N,N,N,Y,2.342,3.258,C1,Y
C00231,R2,46,42,N,9,52,E4,7,N,N,3,N,N,Y,N,14.25,0,0,21,0,611.65,0,0,985,0,Y,N,N,N,N,N,N,N,N,2.657,3.951,C2,N
C00232,R2,23,33,Y,7,28,E1,4,N,N,2,N,N,Y,N,6.9,0,0,14,0,177.4,0,0,340,0,N,N,N,N,Y,Y,Y,N,N,1.932,3.332,C3,N
C00233,R2,72,61,Y,39,76,E3,21,N,N,2,Y,Y,Y,Y,54.8,67.25,51.35,69.5,55.5,3983.6,4905.85,3761.8,4975,4097.7,Y,Y,Y,Y,Y,Y,Y,Y,N,4.004,4.331,C4,N
C00234,R1,8,30,N,1,34,E2,9,N,Y,1,N,N,Y,N,4.25,0,0,13.25,0,28.65,0,0,75,0,N,N,N,N,Y,N,Y,Y,N,1.447,3.526,C3,N
C00235,R3,37,37,N,7,172,E3,13,N,N,1,N,N,N,N,6.85,0,0,0,0,258.5,0,0,0,0,N,N,N,N,N,N,N,N,Y,1.924,5.147,C1,N
C00236,R2,6,30,N,9,45,E2,2,N,Y,1,N,N,N,N,1.35,0,0,0,0,9.95,0,0,0,0,N,N,N,N,N,N,N,N,N,0.3,3.807,C1,Y
C00237,R2,43,43,Y,3,55,E4,18,N,Y,4,Y,Y,Y,Y,9.1,40.75,48.4,16,50.6,422.7,1802.5,1976.65,675,2244.8,N,Y,Y,Y,Y,Y,Y,Y,N,2.208,4.007,C4,N
C00238,R3,6,33,N,12,26,E3,0,N,N,1,Y,N,Y,Y,6.1,18.75,0,24.25,22.8,35.1,131.1,0,125,121.75,N,Y,N,Y,Y,Y,Y,Y,N,1.808,3.258,C3,Y
C00239,R1,22,33,N,9,54,E1,10,N,N,1,Y,N,Y,N,11.05,22.25,0,18.75,0,246.7,504.4,0,370,0,N,N,N,N,Y,Y,Y,Y,N,2.402,3.989,C3,N
C00240,R1,71,47,Y,23,142,E1,30,N,N,2,N,N,Y,N,32.2,0,0,82.25,0,2237.35,0,0,5520,0,Y,N,N,N,N,N,N,N,N,3.472,4.956,C2,N
C00241,R1,63,29,N,10,20,E3,7,N,N,2,Y,Y,Y,Y,13.3,31,62.35,10,96.25,867.9,1944.45,3778.75,640,6132.2,Y,Y,Y,Y,Y,Y,Y,Y,Y,2.588,2.996,C4,N
C00242,R2,50,52,Y,17,36,E4,16,N,N,4,Y,N,Y,Y,11.95,55,0,48,85.85,616.25,2662.1,0,2330,4118.6,Y,Y,Y,N,Y,Y,Y,Y,Y,2.481,3.584,C4,N
C00243,R3,16,19,N,0,21,E2,0,N,Y,1,N,N,N,N,5.25,0,0,0,0,70.25,0,0,0,0,N,N,N,N,N,Y,N,N,N,1.658,3.045,C1,N
C00244,R3,44,31,N,12,30,E1,7,N,Y,3,N,N,Y,N,8,0,0,13,0,317.9,0,0,530,0,N,N,N,N,N,N,N,N,N,2.079,3.401,C1,N
C00245,R3,61,76,N,39,15,E1,29,Y,N,1,Y,N,Y,N,18.6,52.75,0,24,0,1168.45,3257.7,0,1415,0,Y,N,Y,N,Y,Y,Y,Y,N,2.923,2.708,C3,N
C00246,R3,24,39,N,11,49,E3,7,N,Y,1,N,Y,N,N,7.45,0,30.9,0,0,177.2,0,657.25,0,0,N,N,N,Y,N,N,N,N,N,2.008,3.892,C1,N
C00247,R2,64,38,N,0,29,E2,2,N,N,2,Y,N,Y,N,17.5,15.5,0,16.75,0,1114.45,1141.55,0,1010,0,Y,N,N,N,N,N,N,N,N,2.862,3.367,C2,N
C00248,R3,33,55,Y,21,64,E3,10,N,Y,3,Y,N,Y,N,5.15,14.5,0,24.75,0,163.05,494.55,0,775,0,N,N,N,N,N,N,Y,Y,N,1.639,4.159,C1,N
C00249,R1,2,40,N,9,134,E4,2,N,N,1,N,Y,N,N,3.9,0,23.8,0,0,4.6,0,26.45,0,0,N,N,N,Y,N,N,N,N,Y,1.361,4.898,C1,N
C00250,R1,52,54,Y,5,153,E5,10,N,N,2,N,Y,N,Y,11.05,0,36.3,0,30.15,555.85,0,1816.65,0,1525.15,Y,Y,N,Y,Y,N,N,N,Y,2.402,5.03,C2,Y
C00251,R3,3,25,N,4,22,E4,0,N,N,2,N,Y,Y,N,2.85,0,28.25,19.5,0,7.5,0,48,30,0,N,Y,N,Y,N,Y,Y,Y,Y,1.047,3.091,C4,Y
C00252,R2,28,57,N,33,82,E4,22,N,Y,1,N,Y,N,N,4.05,0,31.45,0,0,71.5,0,858.15,0,0,Y,Y,N,Y,N,N,Y,N,Y,1.399,4.407,C2,Y
C00253,R2,37,33,N,1,102,E2,12,N,N,1,N,Y,Y,Y,16.3,0,33.35,10.25,37.9,646.7,0,1108.05,360,1330.6,Y,N,Y,Y,Y,Y,N,N,Y,2.791,4.625,C4,N
C00254,R1,71,56,N,23,170,E1,30,N,Y,1,Y,N,Y,N,14.2,27,0,30,0,1001.2,1840.65,0,2140,0,Y,Y,Y,N,N,Y,Y,Y,N,2.653,5.136,C4,N
C00255,R2,61,40,N,15,85,E3,15,N,Y,1,Y,N,Y,N,13.65,29.25,0,22.75,0,831.15,1823.6,0,1310,0,Y,N,N,N,Y,Y,Y,Y,Y,2.614,4.443,C3,N
